Date,Price
6-Jan-1997,0
7-Jan-1997,3.82
8-Jan-1997,3.80
9-Jan-1997,3.61
10-Jan-1997,3.92
13-Jan-1997,4.00
14-Jan-1997,4.01
15-Jan-1997,4.34
16-Jan-1997,4.71
17-Jan-1997,3.91
20-Jan-1997,3.26
21-Jan-1997,2.99
22-Jan-1997,3.05
23-Jan-1997,2.96
24-Jan-1997,2.62
27-Jan-1997,2.98
28-Jan-1997,3.05
29-Jan-1997,2.91
30-Jan-1997,2.86
31-Jan-1997,2.77
3-Feb-1997,2.49
4-Feb-1997,2.59
5-Feb-1997,2.65
6-Feb-1997,2.51
7-Feb-1997,2.39
10-Feb-1997,2.42
11-Feb-1997,2.34
12-Feb-1997,2.42
13-Feb-1997,2.22
14-Feb-1997,2.12
17-Feb-1997,0
18-Feb-1997,1.84
19-Feb-1997,1.95
20-Feb-1997,1.92
21-Feb-1997,1.92
24-Feb-1997,1.92
25-Feb-1997,1.77
26-Feb-1997,1.81
27-Feb-1997,1.80
28-Feb-1997,1.78
3-Mar-1997,1.80
4-Mar-1997,1.87
5-Mar-1997,1.92
6-Mar-1997,1.82
7-Mar-1997,1.89
10-Mar-1997,1.95
11-Mar-1997,1.92
12-Mar-1997,1.96
13-Mar-1997,1.98
14-Mar-1997,1.97
17-Mar-1997,2.01
18-Mar-1997,1.91
19-Mar-1997,1.88
20-Mar-1997,1.88
21-Mar-1997,1.87
24-Mar-1997,1.80
25-Mar-1997,1.85
26-Mar-1997,1.85
27-Mar-1997,1.84
28-Mar-1997,0
31-Mar-1997,1.84
1-4-1997,1.95
2-4-1997,1.85
3-4-1997,1.87
4-4-1997,1.91
7-Apr-1997,1.99
8-Apr-1997,2.01
9-Apr-1997,1.96
10-Apr-1997,1.97
11-Apr-1997,1.98
14-Apr-1997,2.00
15-Apr-1997,2.00
16-Apr-1997,2.02
17-Apr-1997,2.08
18-Apr-1997,2.10
21-Apr-1997,2.09
22-Apr-1997,2.10
23-Apr-1997,2.22
24-Apr-1997,2.11
25-Apr-1997,2.16
28-Apr-1997,2.10
29-Apr-1997,2.09
30-Apr-1997,2.16
1-2-1997,2.19
2-2-1997,2.21
5-May-1997,2.23
6-May-1997,2.25
7-May-1997,2.34
8-May-1997,2.33
9-May-1997,2.30
12-May-1997,2.27
13-May-1997,2.18
14-May-1997,2.22
15-May-1997,2.25
16-May-1997,2.19
19-May-1997,2.25
20-May-1997,2.22
21-May-1997,2.21
22-May-1997,2.22
23-May-1997,2.20
26-May-1997,0
27-May-1997,2.29
28-May-1997,2.34
29-May-1997,2.29
30-May-1997,2.23
2-Jun-1997,2.20
3-Jun-1997,2.11
4-Jun-1997,2.19
5-Jun-1997,2.18
6-Jun-1997,2.19
9-Jun-1997,2.19
10-Jun-1997,2.16
11-Jun-1997,2.16
12-Jun-1997,2.14
13-Jun-1997,2.15
16-Jun-1997,2.20
17-Jun-1997,2.20
18-Jun-1997,2.22
